Band #,Development,Site Banded,Nest# Banded,Nest Recipient,Nest Origin,Date,Julain Date,experimental?,Treatment Reared,Age (days),Sex,Brood#,Clutch Size Origin,Brood Size Reared,swapped?,Kid#,RWL,Tot. Mass,Cone,Net Mass,Mites?,D?,D No.,Plasma?,Feather?,Mother-Recipient,Mother-RecipientCort,Father-Recipient,Father-RecipientCort,Mother-Origin,Mother-OriginCort,Father-Origin,Father-OriginCort,Biol Mom,Biol MomCort,Biol Dad,Biol DadCort,Social Dad Genetic?,Fate,Notes,Plasma Date, Plasma Julain Date,Approach Time,Basline Time,StandardApproachTime,Latency Time,Latency Num,Stress Time,Elapsed Time,Elasped Num,[Baseline]  (ng/ml) ,ln [Baseline] ,[Stress] (ng/ml) ,ln [Stress] ,[Stress Response] (ng/ml),ln [Stress Response],Bird,date,patch,total.bright,avg.bright,hue,chrom
2391-84027,N,Leona's,1,LEON1,LEON1,6/28/2010,179,Y,control,12,F,1,5,5,N,3,64.0,23.75,3.25,20.50,N,Y,10-097,Y,Y,2540-98616,y,2600-27230,y,2540-98616,y,2600-27230,y,2540-98616,y,,n,N,fledged,,6/28/2010,179,14:38:15,14:40:45,14.6375,0:02:30,2.500,14:55:10,0:16:55,16.917,2.538040,0.931392,20.218120,3.006579,17.680080,2.872439,239184027,62810,N,41121.56267,20.591669,652.7433333,0.430834444
2391-84028,N,Leona's,1,LEON1,LEON1,6/28/2010,179,Y,control,12,F,1,5,5,N,4,64.5,24.00,4.50,19.50,N,Y,10-098,Y,Y,2540-98616,y,2600-27230,y,2540-98616,y,2600-27230,y,2540-98616,y,2600-27230,y,Y,fledged,,6/28/2010,179,14:38:15,14:41:06,14.6375,0:02:51,2.850,14:54:40,0:16:25,16.417,4.492460,1.502400,26.925880,3.293088,22.433420,3.110552,239184028,62810,N,53084.96933,26.582358,641.1166667,0.411353065
2391-84029,N,Leona's,1,LEON1,LEON1,6/28/2010,179,Y,control,12,M,1,5,5,N,5,61.0,25.00,4.50,20.50,N,Y,10-099,Y,Y,2540-98616,y,2600-27230,y,2540-98616,y,2600-27230,y,2540-98616,y,,n,N,fledged,,6/28/2010,179,14:38:15,14:41:18,14.6375,0:03:03,3.050,14:56:06,0:17:51,17.850,,,21.119300,3.050187,,,239184029,62810,N,46743.411,23.406816,618.46,0.420506085
2391-83654,N,Make Believe,9,MAKE9,MAKE51,7/19/2010,200,Y,increase,12,M,2,5,3,Y,1,61.0,22.00,3.50,18.50,N,Y,10-102,Y,Y,2540-44558,y,2540-98929,n,2540-98815,y,2540-98930,y,2540-98815,Y,2540-44900,n,N,fledged,,7/19/2010,200,15:16:00,15:17:03,15.2667,0:01:03,1.050,15:31:31,0:15:31,15.517,7.189300,1.972594,40.821300,3.709204,33.632000,3.515478,239183654,71910,N,64560.02333,32.328504,583.0666667,0.400824565
2391-90645,N,Make Believe,9,MAKE9,MAKE9,7/19/2010,200,Y,increase,12,M,2,5,3,N,2,53.0,18.00,3.50,14.50,N,Y,10-100,Y,Y,2540-44558,y,2540-98929,n,2540-44558,y,2540-98929,n,2540-44558,y,,n,N,fledged,,7/19/2010,200,15:16:00,15:17:23,15.2667,0:01:23,1.383,15:32:02,0:16:02,16.033,3.687200,1.304867,34.208940,3.532487,30.521740,3.418439,239190645,71910,N,40940.239,20.500871,636.38,0.402854187
2391-90646,N,Make Believe,9,MAKE9,MAKE9,7/19/2010,200,Y,increase,12,M,2,5,3,N,3,45.0,15.50,3.50,12.00,N,Y,10-101,Y,Y,2540-44558,y,2540-98929,n,2540-44558,y,2540-98929,n,2540-44558,y,2540-98929,n,Y,fledged,,7/19/2010,200,15:16:00,15:18:23,15.2667,0:02:23,2.383,15:33:03,0:17:03,17.050,10.370020,2.338919,21.854520,3.084408,11.484500,2.440998,239190646,71910,N,23046.125,11.540373,656.1333333,0.423673817
2391-90647,N,Make Believe,51,MAKE51,MAKE51,7/19/2010,200,Y,decrease,12,F,1,5,1,Y,1,60.0,20.50,3.50,17.00,N,Y,10-103,Y,Y,2540-98815,y,2540-98930,y,2540-98815,y,2540-98930,y,2540-98815,y,2540-98645,y,N,fledged,,7/19/2010,200,15:36:15,15:36:45,15.6042,0:00:30,0.500,15:51:12,0:14:57,14.950,3.274800,1.186257,38.474440,3.649994,35.199640,3.561036,239190647,71910,N,16026.13533,8.025105,647.1033333,0.505281993
2391-83894,N,Moorhead,1,MOOR1,MOOR1,6/23/2010,174,Y,control,12,M,1,5,3,N,1,50.5,,,22.00,Y,Y,10-288,Y,Y,2540-46072,y,2540-46073,y,2540-46072,y,2540-46073,y,2540-46072,y,2540-46073,y,Y,fledged,,6/23/2010,174,14:12:45,14:14:00,14.2125,0:01:15,1.250,14:34:00,0:21:15,21.250,0.564720,-0.571425,28.964540,3.366072,28.399820,3.346383,239183894,62310,N,43085.901,21.575313,598.71,0.420631698
2391-83895,N,Moorhead,1,MOOR1,MOOR1,6/23/2010,174,Y,control,12,F,1,5,3,N,2,50.0,,,20.25,Y,Y,10-289,Y,Y,2540-46072,y,2540-46073,y,2540-46072,y,2540-46073,y,2540-46072,y,2540-46073,y,Y,fledged,,6/23/2010,174,14:12:45,14:14:10,14.2125,0:01:25,1.417,14:32:00,0:19:15,19.250,1.839440,0.609461,19.498720,2.970349,17.659280,2.871261,239183895,62310,N,49486.198,24.780269,620.0766667,0.365634054
2391-83896,N,Moorhead,1,MOOR1,MOOR1,6/23/2010,174,Y,control,12,M,1,5,3,N,3,56.0,,,21.00,Y,Y,10-290,Y,Y,2540-46072,y,2540-46073,y,2540-46072,y,2540-46073,y,2540-46072,y,2540-46073,y,Y,fledged,,6/23/2010,174,14:12:45,14:14:55,14.2125,0:02:10,2.167,14:32:00,0:19:15,19.250,1.856380,0.618628,30.981160,3.433379,29.124780,3.371589,239183896,62310,N,40325.37967,20.192979,656.0866667,0.419990969
2391-83579,N,schaap,11,SCHA11,SCHA11,6/30/2010,181,Y,decrease,12,M,1,5,3,N,1,60.0,24.50,2.25,22.25,N,Y,10-165,Y,Y,2540-46014,y,2540-46015,y,2540-46014,y,2540-46015,y,2540-46014,y,2540-44880,n,N,fledged,,6/30/2010,181,16:41:38,16:42:55,16.6939,0:01:17,1.283,16:57:13,0:15:35,15.583,0.14048,-1.962690,19.958080,2.993634,19.287300,2.959447,239183579,63010,N,61422.67333,30.757473,587.7433333,0.39934822
2391-83580,N,schaap,11,SCHA11,SCHA11,6/30/2010,181,Y,decrease,12,F,1,5,3,N,2,61.0,24.75,2.25,22.50,N,Y,10-166,Y,Y,2540-46014,y,2540-46015,y,2540-46014,y,2540-46015,y,2540-46014,y,2540-44880,n,N,fledged,,6/30/2010,181,16:41:38,16:43:10,16.6939,0:01:32,1.533,16:57:04,0:15:26,15.433,0.435880,-0.830390,15.347580,2.730958,15.265320,2.725584,239183580,63110,N,56777.767,28.431531,602.0666667,0.413623623
2391-83581,N,schaap,11,SCHA11,SCHA11,6/30/2010,181,Y,decrease,12,F,1,5,3,N,3,55.0,21.50,2.25,19.25,N,Y,10-167,Y,Y,2540-46014,y,2540-46015,y,2540-46014,y,2540-46015,y,2540-46014,y,2540-46015,y,Y,fledged,,6/30/2010,181,16:41:38,16:43:57,16.6939,0:02:19,2.317,16:58:30,0:16:52,16.867,2.663660,0.979701,23.918720,3.174661,21.255060,3.056595,239183581,63010,N,66473.97033,33.286916,617.1266667,0.388363313
2391-83558,N,schaap,24,SCHA24,SCHA24,6/24/2010,175,Y,decrease,12,F,1,5,3,N,1,48.0,23.50,4.00,19.50,Y,Y,10-170,Y,Y,2540-44550,y,2540-44725,y,2540-44550,y,2540-44725,y,2540-44550,y,2351-05656,y,N,fledged,"2540-98684 also hanging out with female with incubating, swapped 2 chicks out ",6/24/2010,175,15:37:27,15:38:25,15.6242,0:00:58,0.967,,,,0.445480,-0.808600,,,,,239183558,62410,N,37393.76367,18.724969,602.4066667,0.450498089
2391-83559,N,schaap,24,SCHA24,SCHA24,6/24/2010,175,Y,decrease,12,M,1,5,3,N,2,50.0,24.25,4.00,20.25,Y,Y,10-171,Y,Y,2540-44550,y,2540-44725,y,2540-44550,y,2540-44725,y,2540-44550,y,2540-44725,y,Y,fledged,,6/24/2010,175,15:37:27,15:38:40,15.6242,0:01:13,1.217,15:57:38,0:20:11,20.183,0.526600,-0.641310,27.433500,3.311765,27.180180,3.302488,239183559,62410,N,32074.689,16.061437,625.4033333,0.424704921
2391-83588,N,schaap,45,SCHA45,SCHA45,7/2/2010,183,Y,increase,12,M,1,5,7,N,1,61.0,21.00,2.50,18.50,N,Y,10-291,Y,Y,2540-44552,y,2540-44897,y,2540-44552,y,2540-44897,y,2540-44552,y,,n,N,fledged,Increased by 2 chicks,7/2/2010,183,14:41:06,14:41:56,14.6850,0:00:50,0.833,14:56:58,0:15:52,15.867,0.665960,-0.406526,48.310640,3.877652,47.644680,3.863771,239183588,70210,N,40880.32033,20.470866,630.0866667,0.431611815
2391-83589,N,schaap,45,SCHA45,SCHA45,7/2/2010,183,Y,increase,12,M,1,5,7,N,2,65.5,21.50,2.50,19.00,N,Y,10-292,Y,Y,2540-44552,y,2540-44897,y,2540-44552,y,2540-44897,y,2540-44552,y,,n,N,fledged,,7/2/2010,183,14:41:06,14:43:10,14.6850,0:02:04,2.07,14:58:15,0:17:09,17.150,2.639700,0.970665,39.773420,3.683199,37.133720,3.614525,239183589,70210,N,43351.223,21.708174,673.1366667,0.412189216
2391-83565,N,schaap,49,SCHA49,SCHA49,6/26/2010,177,Y,control,12,M,1,4,4,N,2,57.0,24.50,4.00,20.50,Y,Y,10-297,Y,Y,2540-98683,y,2540-98645,y,2540-98683,y,2540-98645,y,2540-98683,y,,n,N,fledged,,6/26/2010,177,16:25:00,16:27:15,16.4167,0:02:15,2.250,16:41:15,0:16:15,16.250,2.381380,0.867680,35.732860,3.576071,33.351480,3.507102,239183565,62610,N,37494.92633,18.775627,633.4133333,0.425454594
2391-83566,N,schaap,49,SCHA49,SCHA49,6/26/2010,177,Y,control,12,F,1,4,4,N,3,58.0,24.00,4.00,20.00,Y,Y,10-298,Y,Y,2540-98683,y,2540-98645,y,2540-98683,y,2540-98645,y,2540-98683,y,,n,N,fledged,,6/26/2010,177,16:25:00,16:29:00,16.4167,0:04:00,,16:41:23,0:16:23,16.383,,,19.502360,2.970535,,,239183566,62610,N,61534.756,30.813598,613.7533333,0.406216466
2391-83593,N,schaap,64,SCHA64,SCHA64,7/5/2010,186,Y,increase,12,M,1,5,7,N,1,60.5,20.25,2.00,18.25,Y,Y,10-001,Y,Y,2540-98664,y,2351-05510,y,2540-98664,y,2351-05510,y,2540-98664,y,2540-46015,y,N,fledged,"Increased by 2 chicks, 3/7 chicks died",7/5/2010,186,13:18:08,13:19:25,13.3022,0:01:17,1.283,13:33:16,0:15:08,15.133,1.530520,0.425608,28.806100,3.360587,27.275580,3.305992,239183593,70510,N,42382.424,21.223047,579.0733333,0.433399562
2391-83594,N,schaap,64,SCHA64,SCHA64,7/5/2010,186,Y,increase,12,F,1,5,7,N,3,61.0,22.00,2.00,20.00,Y,Y,10-002,Y,Y,2540-98664,y,2351-05510,y,2540-98664,y,2351-05510,y,2540-98664,y,,n,N,fledged,,7/5/2010,186,13:18:08,13:20:45,13.3022,0:02:37,2.617,13:34:20,0:16:12,16.200,4.994240,1.608285,18.352480,2.909765,13.358240,2.592133,239183594,70510,N,54273.2,27.177366,580.08,0.413855207
2391-83595,N,schaap,64,SCHA64,SCHA64,7/5/2010,186,Y,increase,12,M,1,5,7,N,4,60.0,22.25,2.00,20.25,Y,Y,10-003,Y,Y,2540-98664,y,2351-05510,y,2540-98664,y,2351-05510,y,2540-98664,y,,n,N,fledged,,7/5/2010,186,13:18:08,13:20:50,13.3022,0:02:42,2.700,13:35:40,0:17:32,17.533,4.924080,1.594137,22.555120,3.115962,17.631040,2.869661,239183595,70510,N,46354.966,23.212301,624.1233333,0.446795097
2511-04715,N,schaap,67,SCHA67,AUTH90,7/24/2010,205,Y,increase,12,M,1,4,6,Y,5,55.5,20.50,2.50,18.00,Y,Y,10-063,Y,Y,2540-98961,y,,n,2540-98702,y,2540-46056,y,2540-98702,y,2540-46056,y,Y,fledged,,7/24/2010,205,13:45:55,13:48:55,13.7653,0:03:00,3.000,14:03:00,0:17:05,17.083,4.754400,1.559071,23.620080,3.162097,18.865680,2.937344,251104715,72410,N,63012.33733,31.553499,638.4166667,0.39347294
2511-04716,N,schaap,67,SCHA67,AUTH90,7/24/2010,205,Y,increase,12,M,1,4,6,Y,4,62.0,23.00,2.50,20.50,Y,Y,10-064,Y,Y,2540-98961,y,,n,2540-98702,y,2540-46056,y,2540-98702,y,2540-46056,y,Y,fledged,,7/24/2010,205,13:45:55,13:48:40,13.7653,0:02:45,2.750,14:03:00,0:17:05,17.083,2.166920,0.773307,25.172320,3.225745,23.005400,3.135729,251104716,72410,N,31822.14967,15.934977,600.3633333,0.419618813
2511-04718,N,schaap,66,SCHA66,SCHA66,7/20/2010,201,Y,increase,12,M,1,5,6,N,3,55.0,19.50,2.25,17.25,Y,Y,10-029,Y,Y,2351-05403,y,2391-83716,n,2351-05403,y,2391-83716,n,2351-05403,y,2391-83716,n,Y,fledged,,7/20/2010,201,15:39:00,15:39:41,15.6500,0:00:41,0.683,15:54:24,0:15:24,15.400,19.064440,2.947825,25.973880,3.257091,6.909440,1.932889,251104718,72010,N,57441.92567,28.764109,612.7666667,0.405173137
2391-84016,N,struther,5,STRU5,CARG24,6/26/2010,177,Y,increase,12,M,1,5,6,Y,1,60.0,20.50,3.25,17.25,N,Y,10-245,Y,Y,2540-98740,y,2351-05656,y,2540-44584,y,2540-46019,y,2540-44584,y,2540-46019,y,Y,fledged,,6/26/2010,177,13:35:15,13:36:39,13.5875,0:01:24,1.400,13:53:20,0:18:05,18.083,0.775440,-0.254325,9.614640,2.263287,8.839200,2.179196,239184016,62610,N,44475.51533,22.271164,632.47,0.413415227
2391-84017,N,struther,5,STRU5,STRU5,6/26/2010,177,Y,increase,12,M,1,5,6,N,2,56.5,21.75,3.25,18.50,N,Y,10-010,Y,Y,2540-98740,y,2351-05656,y,2540-98740,y,2351-05656,y,2540-98740,y,2351-05656,y,Y,fledged,,6/26/2010,177,13:35:15,13:37:12,13.5875,0:01:57,1.950,13:56:10,0:20:55,20.917,3.583880,1.276446,12.879780,2.555659,9.295900,2.229573,239184017,62610,N,29328.408,14.686233,617.7466667,0.399897826
2391-84018,N,struther,5,STRU5,CARG24,6/26/2010,177,Y,increase,12,F,1,5,6,Y,3,60.0,20.25,3.25,17.00,N,Y,10-246,Y,Y,2540-98740,y,2351-05656,y,2540-44584,y,2540-46019,y,2540-44584,y,2540-46019,y,Y,fledged,,6/26/2010,177,13:35:15,13:37:50,13.5875,0:02:35,2.583,13:52:32,0:17:17,17.283,3.940660,1.371348,6.066380,1.802762,2.125720,0.754111,239184018,62610,N,40758.86067,20.410045,639.73,0.394837723
2391-84019,N,struther,5,STRU5,STRU5,6/26/2010,177,Y,increase,12,M,1,5,6,N,4,57.5,21.00,3.25,17.75,Y,Y,10-011,Y,Y,2540-98740,y,2351-05656,y,2540-98740,y,2351-05656,y,2540-98740,y,,n,N,fledged,,6/26/2010,177,13:35:15,13:38:01,13.5875,0:02:46,2.767,13:53:38,0:18:23,18.383,4.245760,1.445921,18.527640,2.919264,14.281880,2.658992,239184019,62610,N,30614.056,15.330023,643.7433333,0.429822791
2391-84020,N,struther,5,STRU5,STRU5,6/26/2010,177,Y,increase,12,M,1,5,6,N,5,55.0,20.25,3.25,17.00,N,Y,10-012,Y,Y,2540-98740,y,2351-05656,y,2540-98740,y,2351-05656,y,2540-98740,y,,n,N,fledged,,6/26/2010,177,13:35:15,13:38:35,13.5875,0:03:20,3.333,13:54:57,0:19:42,19.700,,,13.316360,2.588993,,,239184020,62610,N,33773.41633,16.912076,656.7166667,0.400851081
2391-90555,N,Wagener,1,WAGE1,WAGE1,7/23/2010,204,Y,control,12,M,1,4,4,N,1,53.0,21.50,2.00,19.50,Y,Y,10-104,Y,Y,2540-98654,y,2540-98655,y,2540-98654,y,2540-98655,y,2540-98654,y,2540-98655,y,Y,predated,,7/23/2010,204,12:29:15,12:29:49,12.4875,0:00:34,0.567,12:45:30,0:16:15,16.250,0.808820,-0.212179,28.552480,3.351744,27.743660,3.323007,239190555,72310,N,29471.08267,14.757678,606.1033333,0.421071832
2391-90556,N,Wagener,1,WAGE1,WAGE1,7/23/2010,204,Y,control,12,F,1,4,4,N,2,57.0,21.75,2.00,19.75,Y,Y,10-105,Y,Y,2540-98654,y,2540-98655,y,2540-98654,y,2540-98655,y,2540-98654,y,2540-98655,y,Y,predated,,7/23/2010,204,12:29:15,12:31:20,12.4875,0:02:05,2.083,12:47:50,0:18:35,18.583,1.632580,0.490162,29.769780,3.393494,28.137200,3.337093,239190556,72310,N,73479.055,36.794720,604.81,0.365152486
2391-90557,N,Wagener,1,WAGE1,WAGE1,7/23/2010,204,Y,control,12,F,1,4,4,N,3,56.0,21.00,2.00,19.00,Y,Y,10-106,Y,Y,2540-98654,y,2540-98655,y,2540-98654,y,2540-98655,y,2540-98654,y,2540-98655,y,Y,predated,,7/23/2010,204,12:29:15,12:31:18,12.4875,0:02:03,2.050,12:47:10,0:17:55,17.917,3.495340,1.251431,28.322500,3.343657,24.827160,3.211938,239190557,72310,N,41984.57,21.023821,626.1066667,0.406959678
2391-90558,N,Wagener,1,WAGE1,WAGE1,7/23/2010,204,Y,control,12,M,1,4,4,N,4,65.0,22.75,2.00,20.75,Y,Y,10-107,Y,Y,2540-98654,y,2540-98655,y,2540-98654,y,2540-98655,y,2540-98654,y,2540-98655,y,Y,predated,,7/23/2010,204,12:29:15,12:30:50,12.4875,0:01:35,1.583,12:45:45,0:16:30,16.500,1.266380,0.236162,33.336880,3.506664,32.070500,3.467937,239190558,72310,N,65678.374,32.888520,606.1233333,0.384175659
2391-83636,N,Wagener,2,WAGE2,WAGE2,7/1/2010,182,Y,control,12,M,1,5,5,N,4,51.0,21.75,2.00,19.75,Y,Y,10-108,Y,Y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,Y,fledged,,7/1/2010,182,13:14:50,13:17:45,13.2472,0:02:55,2.917,13:34:00,0:19:10,19.167,9.190520,2.218173,36.964900,3.609969,27.774380,3.324114,239183636,70110,N,53319.88867,26.699994,627.46,0.427926409
2391-83637,N,Wagener,2,WAGE2,WAGE2,7/1/2010,182,Y,control,12,M,1,5,5,N,5,55.0,21.25,2.00,19.25,Y,Y,10-109,Y,Y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,Y,fledged,,7/1/2010,182,13:14:50,13:17:50,13.2472,0:03:00,3.000,13:32:06,0:17:16,17.267,5.121560,1.633459,33.565960,3.513512,28.444400,3.347951,239183637,70110,N,31201.794,15.624334,593.4133333,0.420877947
2391-83898,N,Wagener,2,WAGE2,WAGE2,7/1/2010,182,Y,control,12,M,1,5,5,N,1,58.0,23.00,2.00,21.00,Y,Y,10-110,Y,Y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,Y,fledged,,7/11/2010,192,13:14:50,13:15:55,13.2472,0:01:05,1.083,13:31:05,0:16:15,16.250,2.280160,0.824246,30.314300,3.411620,28.034140,3.333423,239183898,70110,N,51502.45167,25.789911,622.0566667,0.372309773
2391-83899,N,Wagener,2,WAGE2,WAGE2,7/1/2010,182,Y,control,12,F,1,5,5,N,2,59.0,21.50,2.00,19.50,Y,Y,10-111,Y,Y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,Y,died,,7/11/2010,192,13:14:50,13:16:28,13.2472,0:01:38,1.633,13:32:50,0:18:00,18.000,0.777380,-0.251826,35.233260,3.561991,34.455880,3.539680,239183899,70110,N,72315.16133,36.211899,628.08,0.358752709
2391-83900,N,Wagener,2,WAGE2,WAGE2,7/1/2010,182,Y,control,12,M,1,5,5,N,3,56.0,24.00,2.00,22.00,Y,Y,10-112,Y,Y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,2540-98642,y,2540-44974,y,Y,died,,7/11/2010,192,13:14:50,13:16:50,13.2472,0:02:00,2.000,13:33:45,0:18:55,18.917,3.121680,1.138371,32.544460,3.482607,29.422780,3.381769,239183900,70110,N,42995.171,21.529880,582.7466667,0.431340797
